number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
163	Cluster_222	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal		
164	Cluster_228	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Pathotroph	Plant Pathogen	Microfungus	
165	Cluster_242	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Pathotroph	Plant Pathogen	Microfungus	Blue-Staining
166	Cluster_233	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Pucciniales	Pucciniaceae	Pathotroph	Plant Pathogen	rust	
167	Cluster_226	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	N.R	N.R	N.R	
168	Cluster_231	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
169	Cluster_230	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
170	Cluster_235	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	N.R	N.R	N.R	
171	Cluster_232	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Saprotroph	Saprotroph	Microfungus	
172	Cluster_339	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	N.R	N.R	N.R	
173	Cluster_330	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	undefined	N.R	N.R	N.R	
174	Cluster_240	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Savoryellales	undefined	N.R	N.R	N.R	
175	Cluster_365	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
176	Cluster_236	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
177	Cluster_237	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Boliniales	Boliniaceae	Saprotroph	Saprotroph	Microfungus	
178	Cluster_361	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	N.R	N.R	N.R	
179	Cluster_271	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
180	Cluster_245	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	N.R	N.R	N.R	
181	Cluster_286	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
182	Cluster_342	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Pathotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
183	Cluster_281	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
