sample.code	TOTAL	rank	sample.name	year.code	age.month	month.code	code	month	year	mesocosm	position	pool.code	corridor	cor.posi	replicate	position.code	plant
s078	11677	158	O-17-1P09-5_S88_L001	17	5	O	17O	october	2017	1P09	p2	1P09p2	0	0p2	5	patch	Trifolium
s079	15951	293	O-17-1P09-8_S90_L001	17	5	O	17O	october	2017	1P09	mb	1P09mb	0	0mb	8	mb	Brachypodium
s080	14391	245	O-17-1P10-1_S81_L001	17	5	O	17O	october	2017	1P10	p1	1P10p1	0	0p1	1	patch	Trifolium
s081	15468	280	O-17-1P10-2_S83_L001	17	5	O	17O	october	2017	1P10	p1	1P10p1	0	0p1	2	patch	Trifolium
s082	12943	188	O-17-1P10-3_S85_L001	17	5	O	17O	october	2017	1P10	p1	1P10p1	0	0p1	3	patch	Trifolium
s083	51460	785	O-17-1P10-4_S207_L001	17	5	O	17O	october	2017	1P10	p2	1P10p2	0	0p2	4	patch	Trifolium
s084	10695	123	O-17-1P10-5_S89_L001	17	5	O	17O	october	2017	1P10	p2	1P10p2	0	0p2	5	patch	Trifolium
s085	41778	744	O-17-1P10-6_S226_L001	17	5	O	17O	october	2017	1P10	p2	1P10p2	0	0p2	6	patch	Trifolium
s086	23714	476	O-17-1P10-7_S239_L001	17	5	O	17O	october	2017	1P10	mb	1P10mb	0	0mb	7	mb	Brachypodium
s087	8623	63	O-17-1P10-8_S40_L001	17	5	O	17O	october	2017	1P10	mb	1P10mb	0	0mb	8	mb	Brachypodium
s088	14976	263	O-17-1PC01-1_S92_L001	17	5	O	17O	october	2017	1PC01	p1	1PC01p1	1	1p1	1	patch	Trifolium
